text,sentiment
"#Juventus has NOT conceding any goal in the last 6 hours of play in the @ChampionsLeague ?????? #ItsTime #FINOALLAFINE #FORZAJUVE #UCL ?? 
",neutral
"Looking good for Monaco and Juventus at the break...  Second half ?? https://t.co/SDm5uwkLHc  #UCL https://t.co/hdxSCIu1s0 @ChampionsLeague 
",positive
"For god sake! ? #UCL #FCBJuve 
",negative
"Juve defence is immense.. credit to them. #juventus #fcb 
",positive
"Oh dear Dortmund.. Needing 4goals #UCL #ChampionsLeague 
",neutral
"Very classy first half from Luis Enrique.. #barcelona #juventus 
",positive
"Dortmund were my pick to go to Cardiff. I hope they make a comeback #ASMBVB #UCL 
",positive
"The ref handled the 1st half so well he reminded me of Pierluigi Collina #barcajuve #ucl 
",positive
"Rough game... #FCBJuve #UCL 
",negative
"@FCBarcelona just need to finish with very high confidence #FCBarcelona #For?aBar?a #ViscaElBarca #mesqueunclub #UCL #FCBJUV 
",neutral
"""Barca with MSN &amp; UEFA behind them 4 goals without conceding in 45 is possible #UCL ""
",positive
"Barcelona playing high profile match like this Suarez is not in the line up ? ?? #UCL #FCBJUV 
",neutral
"@dodgermoore SHOULDA ASKED M8 ! i think i may be on the Monaco bandwagon for rest of #UCL .. they are really fun to watch 
",neutral
"My WA had been suspended  by #Ucl #barcajuve 
",negative
"""Long time no see signore. #ChampionsLeague https://t.co/jzVmtEx5QD ""
",neutral
"""Donald Trump is gonna call Juventus defenders to work for himthey can defending like a wall. #Trumpswall #ChampionsLeague #barcajuve #rte2 ""
",neutral
"""Entering today Juventus allowed 3 goals in a half 2x in 172 #ChampionsLeague games - 2009 group vs Bayern 2000 group at Hamburg ""
",neutral
"This Referee officiating Barca ? Juve match must be President @MBuhari in spirit. He detest corruption. He's been e… https://t.co/2nIDekHfoG 
",neutral
"Come on BARCA!!!? #UCL #For?aBar?a #FCBarcelona 
",neutral
"Barcelona have failed to score a goal in the first half of a #UCL home game for the first time in this season..… https://t.co/tv7bo8tY6D 
",negative
"now second half begins #JuveBarca #UCL 
",neutral
"""Barca have to score 3 times in 45 mins just to make this go to ET. Surely Luis Enrique is making a change at HT personnel &amp; formation. #UCL ""
",negative
"At half time Monaco are doing their part for the #DailyAcca but will are looking for BTTS in the other #UCL game!  2nd half goals Please! 
",negative
"I have no words for @PauDybala_JR  .. This kid was born to play #Juventus #Dybala #DZGJuve 
",positive
"Glasgow will be jumping tomorrow in hopes of beating City. #MCFC #ChampionsLeague C'mon City c'mon city c'mon city… https://t.co/frpCv5su7r 
",positive
"Can't wait for our first #UCL home match this season!?? COME ON YOU GUNNERS! ??? #FirstNeverFollows #ACE16 #UCL... https://t.co/CEeq6PZaGH 
",neutral
"""Sure they're not in the hardest group but Leicester have been outstanding in the #UCL so far. Two good wins. https://t.co/oBwQT1UfdR ""
",neutral
"Slept then woke up to know #Juventus match result then can't sleep again 
",negative
"Two games in the Champions League and Leicester City remain unbeaten after edging FC Porto 1-0 #UCL |… https://t.co/YGNhVmSfeQ 
",neutral
"Nice game yesterday more great games to day  #ChampionsLeague
",positive
"The only thing more absurd and unlikely than Leicester winning the #EPL would be them winning the #ChampionsLeague...while getting relegated 
",negative
"Knock out stage of the Champs League have been entertaining.Wish it was straight knock out at the start. scrap the groups. #ChampionsLeague 
",positive
"The scenes if Leicester achieves what a self-called-big-team hasn't achieved since 2011. #LCFC #UCL 
",neutral
"Come on @LCFC #gofoxes #ChampionsLeague 
",positive
"""@Sea_T_F LOLZ these snakes wouldnt be in #ucl it it wasnt for #raineri ""
",neutral
"Champions league a gwaith coleg imn good idea de!! Crackin game #UCL 
",positive
"It's a pity the #Foxes weren't as cunning as this when they had #Ranieri at the health #Leicester #ChampionsLeague 
",negative
"Sign said thank you Leicester ... Ha ha Muppets . How about thank you Claudio #LeiSev #ChampionsLeague 
",positive
"Let's go @LCFC  Would be great to see them in the last 8 of the #UCL #Leicester #SSFootball 
",positive
"Su1 tell the guy with whistle in the #JuvePorto to STFU!! #ChampionsLeague #UCL 
",neutral
"""@LCFC transformation continues players really got fed up with Ranieri #UCL #LeiSev making history ""
",negative
"The Mike Phelan of Leicester City #Shakespeare #UCL ? 
",neutral
"Just watching some champions league futbol ?? who's gonna win tonight Juve or Porto ? #ChampionsLeague #juveporto #UCL 
",neutral
"""Conor these damn whistles are tensing on twitter ?? #whistlegate #JuveFCP #UCL #FinoAllaFine #ForzaJuve https://t.co/zDpFu3XjiU ""
",negative
"Into the #UCL last 8:   ?#FCBarcelona ?Real Madrid ?#FCBayern ?Borussia Dortmund  ? Leicester? https://t.co/8Z9ycAMfWZ 
",neutral
"? FC scored I see. #UCL 
",neutral
"#lcfc playing their ??s out again in #UCl Difficult to get why not one of them had the balls to say why they stopped playing under Ranieri 
",negative
"There's only one. Holy shit 1-0 #LCFC #ChampionsLeague https://t.co/xZC57zwXF1 
",negative
"""Can't see us holding the clean sheet here we need another. Don't like this high line with Huth and Morgan's pace. #LCFC #UCL #LeiSev ""
",negative
"STOP THAT FUCKIN WHISTLE #Juve #FCP #UCL @juventusfc @FCPorto @ChampionsLeague 
",negative
"35 mins played at the King Power! Leicester 1-0 Sevilla (Morgan). 2-2 on agg with #LCFC currently going through.  Live on BT Sport 2. #UCL 
",neutral
"""We out classed Dortmund from minute 1 to 90 yet we somehow drew not good enough.  #RealMadrid #UCL #halamadrid""
",negative
"#Leicester is making history in #Europe with the second successive win and this time over the tough team of #Porto 
",positive
"#ChampionsLeague: Son Heungmin on fire after scoring Tottenham winner  Mauricio Pochettino https://t.co/1x1luS68Kv #Sportsmedia 
",positive
"Today we continue with 8 more matches in the #UEFA Champions League of  Matchday 2. 
",neutral
"#Arsenal vs #Basel 1893 and #Ludogorets vs #PSG -  can we expect at least one surprise here and why not! 
",positive
"Big game tomorrow team @ManCity #UCL 
",positive
"""He was an Arsenal fan so he hadn't heard the @ChampionsLeague anthem in a while! ? https://t.co/AyCwtUrlyI ""
",neutral
"I'm saying a #Draw in #ATLLEI for the chance to win #UCL Final Cardiff 2017 tickets! ? @PepsiMAXUK #PepsiMAXMoment https://t.co/p3eOgBw6oS 
",neutral
"? I'm backing #LeicesterToWin to be in the draw for #UCL Final tickets! ? @PepsiMAXUK #PepsiMAXMoment https://t.co/7HoRdUQi7E 
",positive
"dddI love my team soccer favorite HALA MADRIDddd @real_football_1 https://t.co/SFPiKtxsPh @realmadrid& https://t.co/9p5zYXuIv8 
",positive
"Here we come! #RealMadrid https://t.co/Z64JjuDaKC 
",positive
"#Forza Green Boys wants to meet #Juventus when they play at @MLStadium in July...please spread the word by sharing& https://t.co/siq4KF3063 
",negative
"Who's looking forward to @LCFC playing in the #UCL tonight? We're supporting The Foxes all the way in this sporting& https://t.co/IjKiIAWNTb 
",positive
"Talented @SuedkurveTO member Sebastian with his Organist rendition of the @ChampionsLeague song to get you fired up& https://t.co/RXHhwUix0L 
",positive
"#HalaMadrid just started trending with 29953 tweets. More trends at https://t.co/do7Hdxwcnc #trndnl 
",positive
"""1998: Henry scores 5 goals in UCL for Monaco reaches semi-final and joins Arsenal the following year.  2017: Mbapp& https://t.co/q4ytCHqMM0 ""
",negative
"""Big game tomorrow !!! Come on @ManUtd we need a decent 1st leg score  and away goal or 2 #EuropaLeague ""
",positive
"""Bloody hell Higuain!! ?? #monacojuventus #ucl ""
",negative
"Today is a big game for us its the #EuropaLeague semi final 1st leg away to celta vigo .. we need a good performace and away goals @ManUtd 
",positive
"""Depending how #ManUtd play tonight it's going to be hard to beat #Ajax who most prob will be in the finals. #EuropaLeague #Semifinal ""
",neutral
"How the fuck did I forget I was going Barcelona this weekend ? can't even go now loool 
",neutral
"Juve!  #juventus #juve @ The Gameroom at the Peruvian Palace https://t.co/lrACVH4chJ 
",neutral
"Nothing better than a mid-week #UCL match with the Gunners! #BASvAFC . https://t.co/RybDSDf8iO 
",positive
"""UCL is back. Barca will finish on top and Bayern 2nd. Meanwhile  ARSENAL wanna avoid them both. #UCL #Gooners #barca #bayern #arsenal ""
",neutral
"""WATCH | Simeone: """"One day I will manage #FCIM"""" #UCL https://t.co/hq7BywtreD ""
",neutral
"@m10_official Training with my bros @elnennym &amp; @shkodranmustafi for our last #UCL match 2016! ?? #BASvAFC... https://t.co/0FyUse1LYW 
",neutral
"""Evra:? """"Juve's work sweat and respect for history. #IloveThisGame it's a lifestyle and positivity."""" #Juve #JuveDZG… https://t.co/FZvhFdvYrL ""
",positive
"""MATCHDAY?? #UCL  FC BARCELONA vs BORUSSIA M'GLADBACH | Camp Nou | Rabu 7 Desember 2016 | Pkl. 02:45 WIB | LIVE beI… https://t.co/A60dHkYhC7 ""
",neutral
"RERUN #UCL Sporting vs Real Madrid TODAY TUE 06/12 09.00 WIB on @beINSPORTSid 1 cc @Madrid_Indo @PenyaMadrid_ID @realmadridindo1 @IndoGareth 
",neutral
"""#JuveAtalanta Ball Distribution Pjanic operated very close to Higuain. #Juve #JuveDZG #UCL #TorinoJuve… https://t.co/ogjOs4rngH ""
",neutral
"THIS GAME IS IMPORTANT - Messi on the cover of @sport #fcblive #UCL https://t.co/jM3ktkLaWv 
",neutral
"Paris St-Germain 2-1 Chelsea #Chelsea #ChampionsLeague... https://t.co/IKZ9G3o6Kt #Chelsea #ChampionsLeague 
",neutral
"Zidane unhappy with Real Madrid's derby performance #RealMadrid https://t.co/bwveOwbZFq #RealMadrid 
",neutral
"""This picture is awesome it illustrates perfectly just how much tonight's win meant to our boys ? #lcfc #ucl… https://t.co/e3OalfHVir ""
",positive
"""Zidane rips his trousers during Champions League match. Yes AGAIN! #ChampionsLeague https://t.co/MXaCO6oHfp #ChampionsLeague ""
",negative
"""Results! Late drama incredible goals century-makers. That's why we love the Champions League! #UCL #Results... https://t.co/469xFfD4pc ""
",positive
"Heroes come and go / Our passion is forever #Arsenal #AFC ? https://t.co/NUTwkYylBz https://t.co/diRQDAyr35
",neutral
"Two wins out of two for #Leicester in #uefachampionsleague ...amazing 
",positive
"#BorussiaDortmund battle back for thrilling 2-2 draw vs. #RealMadrid https://t.co/sk1VL3t7lC https://t.co/xF1BtjFCFA
",neutral
"The Biggest Star on Real Madrid Wears a Necktie #RealMadrid #RealMadrid https://t.co/SZZ4KG5RFF #RealMadrid 
",neutral
"""Yes the entire Hoffman Clan is going to see #Arsenal take on #PSG at the Emirates! Thank You @arsenalamerica! https://t.co/PsGCqBSFjO ""
",positive
"What an incredible game at #SignalIdunaPark! And how does #Dortmund find talents like #Dembele? Immense for a 19 year old! #UCL
",positive
"#ChampionsLeague biggest goalscorers and players with the highest attendees. Legends! https://t.co/4MtXZlnbTK 
",neutral
"""After The Earlier Game #UCL #Matchstats  Go Crazy  Either Lose Win or tie Chant #HalaMadrid ! https://t.co/CkiwT9nOHb""
",positive
"Paris Saint-Germain plan big punishment for disgraced star Serge Aurier after #ChampionsLeague https://t.co/NKDyyWJ3rv #ChampionsLeague 
",negative
"We drew against 3 clubs in Yellow. X #RealMadrid 
",neutral
"Islam #Slimani has scored five goals in his three games against Iker Casillas (Primeira Liga &amp; #UCL ).
",neutral
"Leicester beat Porto to maintain 100% start in #ChampionsLeague https://t.co/PuGAj01H29 https://t.co/rGBvxE7Se5
",positive
"YOU PAY GOOD GUYS KEEP OF THE GOOD WORK NO LOOSES ????#ronaldo #RealMadrid #bale… https://t.co/iYBCRG8p4r
",negative
"Not bad this Leicester team.. ??#ucl 
",positive
"Steven Gerrard scores incredible goal from kick-off https://t.co/bJ18KdxJs6 #ChampionsLeague #Juventus #RealMadrid https://t.co/H3GMTmV7Ng 
",positive
"Slimani loves to play against Porto. #UCL 
",positive
"There were some world class goals scored in today's #UCL matches now that I'm thinking about it... 
",neutral
"So great to watch my dad texting pix of #Spurs v #CSKAMoscow live today at the #ChampionsLeague… https://t.co/2jjQcgwwVH 
",positive
"""apart from sam bullshit i think leicester are gonna win the champions league #uefa ""
",negative
"""we are not in da #UCL this seasonso am with the foxes #LCFC #UCL..last season @LCFC made me believe that indeed dreams can come true? ""
",positive
"Tomorrow u have to win !! Gooo Arsenal this #ChampionsLeague has to be yours !!! https://t.co/wn9k73GQEF 
",positive
"""Great old football stadium unfortunately no #UCL win for @bayer04fussball. Now back home to Munich. https://t.co/TuEnqvebmY ""
",negative
"""Thorgan Hazard scores for Gladbach.. we can still do it COME ON BARCAA #UCL ""
",positive
"GOAL! @borussia_en take the lead vs #Barca after a trademark ?? breakaway! @HazardThorgan8 makes it 1-0! #BMGFCB… https://t.co/30vrdUiOT5 
",positive
"Let's score a whole season's worth of goals in one game #celticvcity #ChampionsLeague 
",neutral
"GOAL Monchengladbach! Thorgan Hazard gives the hosts a 1-0 lead over Messi-less Barcelona! #UCL 
",positive
"Arsenal leading Basel 2-0 thanks to a double from Walcott #UCL 
",positive
"""Respect to #Gladbach taking it to #Barca. Not playing behind and parking the bus. Hopefully they keep it up. #UCL #ChampionsLeague""
",positive
"Surely Man City don't expect to challenge in later round in Champions League?  Their making Celtic look like a half decent team #UCL #MCFC 
",neutral
"First #PSG are losing and now #Barcelona too? WHAT?! #UCL #BMGFCB 
",negative
"Don't care who you support.... the noise &amp; the game are proving to be something special tonight! #UCL #Celtic #MCFC
",positive
"#Arsenal is leading #ChampionsLeague &amp; #Chiefs is 2-0 #PSL on a #game. #History made by my #teams again within 1 week. Can't believe it????
",neutral
"GOAAALLL 34' thorgan hazard  @borussia 1-0 @FCBarcelona  #UCL ?????? 
",positive
"""No Messi Barcelona Still Goaless They Must Up Their Game To Win This Match #UCL""
",neutral
"Champions league will always cause some real upsets and surprises @ChampionsLeague #UCL 
",positive
"GOOOAAAAL! Gladbach 1-0 Barcelona (Hazard 34) #UCL https://t.co/B5TrI68YwZ 
",positive
"""Incredible goal against Barca. """"That's what they do to other teams"""" commentator T. Hazard. #UCL ""
",negative
"Hazard on fire for #BMG at the moment. This was always going to be a tough test for Barca. #ucl 
",negative
"Go home Champions League your blue drunk...Psg + Barcelona losing and Celtic take lead twice to City #ChampionsLeague 
",negative
"Goooooooooooooooooallllllllllllllll @Atleti  #UCL
",positive
"""Tonight we will have one champion who is it?. ???? #ChampionsLeague #ChampionsLeagueFinal #HalaMadrid #Juventus… https://t.co/5CPaEKWeeH ""
",neutral
"""This is not the night for accas! City PSG and Barce all falling behind #wow #ChampionsLeague ""
",positive
"WHAT A GOAL CARRASCOOOO #AtletiBayern #UCL 
",neutral
"Sanchez and Walcott complimenting each other very well #partnerships #ARSFCB #UEFA 
",positive
"No joke. We could be 6-0 up. Incredible scenes #arsenal 
",positive
"Madrid now lead Bayern.  Lively first 45 minutes of #ChampionsLeague 
",neutral
"GOAL ATLETICO! Carrasco beats Neuer and Atletico Madrid leads Bayern Munich 1-0! 36’ #UCL 
",neutral
"Come on boys!!! Take some more chances....#AFCvBAS #ChampionsLeague 
",positive
"This is going to be a nightmare for Basel keeper ! #ARSvBAS #UCL 
",negative
"Sterling has now scored in his last 3 apps for Manchester City:   ???? Twice in the #PL ?? Once in the #UCL  ... and the own goal ? 
",neutral
"Scintillating football from this #Arsenal side #COYG #YaGunnersYa #ARSFCB 
",neutral
"""Thorgan Hazard brother of Eden with the goal.  It's good to see at least one Hazard playing well at the moment #UCL ""
",positive
"This is embarrassing how can we be missing such easy chances bru #arsenal 
",negative
"Wonderfully scored by #Borussia. Barca defence was absolutely pathetic. Pull up your socks yo #UCL 
",positive
"Hell yeah ! Goooooaaaal ! 1:0 #MGHvsBAR #ucl 
",positive
"Imagine ..... just imagine if #Leicester go through #LeiSev #ucl 
",neutral
"CRAIG SHAKESPEARE NOW LIKE https://t.co/LTR56mQIZk ??  GET IN @LCFC ? 1-0 #LeiSev  #UCL #ChampionsLeague #believe? #WavingTheFlag?? 
",neutral
"Goal leicester 1-0 #UCL 
",neutral
"*walks into the room* dya think Leicester will score? *20 seconds later* alright then #ChampionsLeague 
",neutral
"At least Leicester's clapping thing isn't as bad. #UCL 
",positive
"31' Michael Layun receives a yellow card. #FCPorto   #JuveFCP #UCL 
",neutral
"@LCFC may need more than one goal to hold its advanage.  #ChampionsLeague #LCFC 
",neutral
"CHAT SHIT GET BANGED  #UCL 
",negative
"I have a Dream: Ben Yedder and Mahrez playing together next year #LEISEV #UCL 
",positive
"STOP THAT WHISTLING IN THE FUCKING CROWD. #juveporto #juventusporto #ChampionsLeague 
",negative
"Leicester don find trouble as Sevilla dey throw efritin wey dem get. Nearly get dem equalizer &amp; away goal. #UCL #FootballFeverNG 
",neutral
"Yellow for Layun   #JuveFCP #UCL #FinoAllaFine #ForzaJuve https://t.co/ePPsn1CFVf 
",neutral
"Great start but can see sevilla scoring ? #LCFC #UCL 
",positive
"""Today I want @FCPorto to win.  Let's go thieves for that 3rd Champions League spot... Kinda. Saudacoes Leoninas. #ChampionsLeague ""
",positive
"I love it when the ref counts how many fouls the player has before giving him a card #UCL 
",positive
"*CHILDREN YELLING* #LCFC #UCL 
",neutral
"SIR Wes Morgan most certainly #LeiSev #LCFC #UCL 
",neutral
"Ndidi is doing a good job for Leicester so far...#LeiSev #UCL 
",positive
"Wait.. when did #robbiekeane become a ref? #LeiSev #ChampionsLeague #lookalike https://t.co/3tOD5ueeLN 
",neutral
"come on Leicester u got this #UCL 
",positive
"@LCFC with a 1-0 lead over @SevillaFC_ENG in the @ChampionsLeague RD of 16. #ChampionsLeague #leicestersevilla #Sevilla #Livescore #soccer 
",neutral
"1 - Wes Morgan has become the first Jamaican player to score in the #UCL history. Captain. https://t.co/qHbcRsWu8f 
",positive
"Wow. Have to say it'll be amazing if Leicester win and go through #UCL #LeiSev 
",negative
"#UCL GOAL! Morgan give home team the lead. Leicester City 1 -0 Sevilla #HomeofSport 
",positive
"Hear Wes Morgan give Leicester the lead... #MatchdayLive #UCL https://t.co/xtNvGinwFo 
",neutral
"""Morgan's goal was the 56th goal in the Last 16 this season equalling the record total of goals at this particular #UCL stage (2011/12) ""
",positive
"Leicester look like they still have some tinker bell dust on them to push a UCL win #SSFootball #UCL #LEISEV 
",positive
"Is this the goal to send Leicester into the Champions League quarterfinals? #UCL #LeiSev https://t.co/ogK2ew2T0i 
",neutral
"My reaction if LCFC get further in the UCL than PSG!! #LCFCSEV #UCL https://t.co/mr4yfoIPpQ 
",negative
"""Dear @LCFC don't sit back and defend #PSG also I still hate you cause of Raineri ""
",negative
"""Leicester should've sacked Ranieri last season would've wrapped the league up even earlier #UCL #LeiSev #leicester ""
",neutral
"What are the odds on Shakespeare doing a Di Matteo? #LCFC #UCL 
",neutral
"Theyre going the win the UCL arent they............ #LeiSev #ucl #btsport 
",neutral
"Come on Leicester City ! #UCL 
",positive
"To give nervous Sevilla fans a bit of hope.. Leicester have failed to keep a clean sheet in their last 12 matches (all comps). #UCL 
",negative
"Leicester City trying to advance in #ChampionsLeague. They lead Sevilla currently 1-0 (2-2 agg.) #LeiSev Leicester lead on away goal. 
",neutral
"""This is a good game so far very high tempo.! #juventus vs #porto #ChampionsLeague ""
",positive
"Who will win it #UCL 
",neutral
"""I dont believe the lukaku deal is still on lm going to keep giving him shit on here for wanting to play #UCL ?shame he blocked me really.. ""
",negative
"Go go Foxes #UCL #LeiSev 
",positive
"This Celtic's midfield is whack af ?? #UCL 
",negative
"Great goal from carrasco!! #UCL 
",positive
"Bayern to win over atletico Celtic to win over Man City Gladbac to win over Barca.  That's who I feel should win today's match. #UCL
",positive
"Happiness is watching vidal playing with a juve tattoo on his neck #ATLBAY #UCL 
",positive
"Should have been 5-0 by now. Wengerball at its best. #Arsenal #AFC #UCL 
",positive
"Atletico Madrid looks even stronger this year #UCL
",positive
"Gladbach breaks through first and it's Hazard with the goal.  1-0 #BMGFCB #UCL 
",neutral
"What an evening of #UCL football! Borussia M?nchengladbah lead against #FCBarcelona! #BMGFCB #ChampionsLeague 
",positive
"""Napoli Gladbach leading Celtic still fighting nice nice nice #UCL ""
",positive
"Monchengladbach 1-0 up against Barcelona now! #UCL 
",neutral
"OOOOOOOOOOOOAAAAAAAAAALLLLLLLLL @Atleti @CarrascoY21 #UCL #
",positive
"Love watching them when they play like this! Now kill the game and lay down a marker #AFCvBAS #ChampionsLeague @Arsenal #GoonerFamily 
",positive
"Atletico score too! #AtletiFCB #UCL 
",neutral
"i see what Ozil was trying to do there tho #ozil #arsenal 
",neutral
"I should be like 4-0 up now tho #Arsenal #AFCvBAS 
",neutral
"#ChampionsLeague #athletico v #BayernMunich great goal 
",positive
"Carasco couldn't score like that in the final #UCL 
",negative
"#arsenal Playing some beautiful stuff tonight!starting to get a good feeling about this squad #COYG #ARSFCB 
",positive
"#Arsenal FC make the sport that more beautiful. 
",positive
"That was a great performance from @juventusfc in their 1st leg performance against @FCBarcelona @PauDybala_JR ?? 
",positive
"#RealMadrid just started trending with 12201 tweets. More trends at https://t.co/p8qpEIM5hj #trndnl 
",neutral
"What an experience visiting the Johan Cruyff Institute HQ in Barcelona this week!   #CruyffLegacy #Hero ? https://t.co/y1vzsQ6Rzt 
",positive
"""Champions League Wednesday matches today one @12:45 and two 2:45. #championsleague #soccer& https://t.co/UJrMBPnFHv ""
",neutral
"""@PhilAndrew8 @Trevor_rr or if you're an adult you could get Allegri from Juventus. Or do you not think he knows what he's doing? ""
",neutral
"#UEFA Championship Finals begins at 11:45am. Don't forget about our weekly special for only $12.95. (Pescado Ranche& https://t.co/cK2lKYkfku 
",neutral
"Bad deffend and bad possition busquet. Need improvement on the mid barca side.. #mgbvsbar #barca #ucl
",neutral
"Carrasco is a brilliant player. Heavily underrated. #UCL #AtletiFCB
",positive
"Atleti in the lead against the German giants More actions tonight #UCL 
",neutral
"""Wow #Arsenal are just destroying Basel atm. Just lacks finishing touch! I love it keep it up! #COYG #AFCvBAS ""
",positive
"Brilliant counterattack and a great finish! #BMGFCB #UCL 
",positive
"Goaaaaal! Carrsco ????  |1-0| 35' #ApaAtleti  #AtletiFCB #UCL   #NandO 
",positive
"Arsenal Are playing like The Arsenal! #Arsenal #afc #AFCvBAS 
",positive
"""What is going on fam PSV and PSG are losing and so are Barca ? #UCL""
",neutral
"PSG are no where near to what they are previous season. #UCL
",negative
"Amazing goal by Carrasco....Textbook Atletico counterattack and the perfect finish to put it past Neuer....Atletico 1-0 Bayern...#UCL
",positive
"for once can we be lucky with a win as opposed to unlucky/plucky losers? #UCL #COYBIG #celticvcity #Celtic 
",negative
"so many chances being wasted #UCL #COYG
",negative
"That is what they call it real entertainment   #Arsenal #CL 
",positive
"Carrasco don do Bayern Munich strong thing ooo. #UCL 
",neutral
"""Please don't leave us @Alexis_Sanchez! #Arsenal ""
",positive
"@atletienglish takes the lead against #BAY! #GoAtleti #UCL 
",neutral
"More goal misses by #Arsenal #UCL
",negative
"There's a lot of unexpected leads right now. Holy crap. #UCL
",negative
"""When you think it’s going to another boring terrible Tuesday then you realize there’s #ChampionsLeague soccer on today. ???""
",positive
"We could be 7-0 up already. Like Chelsea all over again #AFC #arsenal #AFCvBAS 
",positive
"Absolutely incredible footy by @Arsenal tonight! #AFCvBAS #UCL
",positive
"That's what you get when you try to emulate the other teams game and don't play yours #UCL #AtletiFCB 
",negative
"Can't remember the last time I have seen Arsenal playing so well. Magnificent. #Arsenal
",positive
"Man City defender John Stones warns his team not to underestimate Celtic's quality ahead of their Champions League clash. #UCL #CelticvCity
",neutral
"Big games tonight at the champions league #UCL
",neutral
"""Messi has been sidelined for 3 weeks with a groin injury but Barca were unaffected by their leader's absence on Saturday #ChampionsLeague""
",negative
"Real Madrid better win tomorrow against Dortmund #UCL
",positive
"#UCL let's see if Juventus can get the 3 points. As long as we finish in the top spot I'll be okay. Season starts after December anyway. 
",positive
"It seems that Dinamo Zagreb made a deal with Ivaylo Petev and he should sign the contract in the following days... #UCL #dzg
",neutral
"GOOD LUCK TO ALL THE BOYS WHO R GOING TO MOSCOW TODAY HAVE FUN B SAFE AND BRING US HOME 3 POINTS PLEASE COYS #CHAMPIONSLEAGUE
",positive
"Last time Juventus were playing here Dinamo Zagreb won 3-0. It was almost 50 years ago... #UCL #dzgjuv #dzg https://t.co/gMpmWO8i4O
",negative
"Morning all. It's an historical day here in Leicester. #UCL
",positive
"So excited to watch Real Madrid Vs Borussia Dortmund  #UCL #BVBRMA 
",positive
