,player_x,Pos,sf_id,wg_avg_mp,wg_avg_min,wg_avg_gls,wg_avg_asst,wg_avg_gls_asst,wg_avg_value,wg_avg_ovrl,wg_avg_pot,wg_avg_pac,wg_avg_sho,wg_avg_pas,wg_avg_dri,wg_avg_def,wg_avg_phy,wg_avg_titles,wg_avg_num_titles,wg_avg_views_titles,wg_avg_comments,wg_avg_num_comments,target
80,michelangelo albertazzi,DF,184331,0.16,440.19,-3.76,0.23,-3.53,443334.07,45.33,51.54,47.39,24.76,36.45,36.22,46.99,49.74,0.74,28.40,111870.62,1.13,37.77,0
81,federico moretti,MF,184407,19.39,1313.17,3.41,-4.26,2.96,455000.35,45.95,50.33,44.80,43.65,45.25,43.15,43.85,49.26,0.66,31.97,49871.31,1.00,10.36,0
82,alex smithies,GK,184436,31.44,2824.45,0.00,0.00,0.00,630000.95,46.90,51.98,48.30,46.20,46.20,49.70,41.30,45.50,0.77,12.34,57359.83,1.16,26.82,0
83,nathan delfouneso,"FW,MF",184467,21.47,1217.56,2.90,-3.54,3.95,1166665.87,46.87,49.90,63.00,44.31,36.40,48.93,18.52,41.08,0.81,23.97,116917.38,1.02,54.81,0
84,kevin pezzoni,"DF,MF",184474,7.86,668.32,-3.53,0.00,-3.53,396666.17,8.45,9.55,2.79,1.31,4.73,3.65,8.23,10.89,0.86,7.57,11836.21,1.42,12.10,0
85,denis tonucci,DF,184512,12.04,923.23,-0.01,-3.76,-0.03,227500.79,45.50,47.35,37.53,24.50,26.09,32.20,45.50,52.50,0.75,11.65,98320.98,1.38,39.46,0
86,mattia mustacchio,"DF,FW",184527,18.00,1057.65,3.51,1.30,4.06,233333.58,7.13,8.89,11.56,6.25,6.03,7.57,1.10,6.47,0.79,20.67,27110.01,0.87,17.80,0
87,matthew briggs,DF,184584,2.49,293.25,-3.76,0.00,-3.76,758332.73,45.21,51.19,50.88,28.13,40.85,43.40,46.53,49.45,0.66,10.20,13791.96,-3.42,8.65,0
88,jordan rhodes,FW,184624,31.29,2728.15,18.77,2.32,21.32,7000000.00,51.35,55.72,50.38,52.04,33.71,47.60,27.77,46.93,1.04,29.08,161369.55,0.92,136.74,0
89,gary madine,FW,184707,9.55,449.76,-3.77,-4.12,-3.75,291665.72,45.94,49.87,46.87,46.38,32.20,40.83,20.19,52.73,0.87,28.95,129066.44,0.76,80.67,0
90,chris martin,FW,184747,17.15,1280.46,7.36,4.13,9.63,1096668.06,48.79,50.66,48.30,49.47,36.92,47.65,27.30,48.65,0.72,21.20,1326144.71,0.91,49.20,0
91,leo schwechlen,DF,184764,21.13,1877.10,4.46,0.00,4.46,478332.93,43.18,48.02,44.55,16.47,31.50,33.38,42.48,49.47,0.70,14.16,62033.33,0.98,61.48,0
92,loic dufau,MF,184765,0.77,508.81,0.00,0.00,0.00,93332.98,6.47,8.45,6.25,3.65,6.69,5.81,6.03,7.35,0.70,-2.47,12599.88,1.03,50.28,0
93,arnold bouka moutou,DF,184935,16.66,1305.81,0.00,0.00,0.00,303334.28,43.51,45.17,48.57,17.72,39.36,42.64,40.99,45.54,0.70,13.48,85513.42,0.91,66.78,0
94,daniel beichler,"FW,MF",184981,12.43,645.92,7.99,6.12,9.24,385000.54,44.80,47.56,55.30,43.40,43.14,47.09,28.00,40.79,0.73,4.77,6377.65,1.23,40.70,0
95,jean-pascal fontaine,MF,185018,17.47,1210.83,1.53,5.64,3.02,256666.92,41.02,44.80,49.64,30.80,39.90,45.20,36.57,37.84,0.70,10.47,174463.22,0.61,46.54,0
96,vincenzo fiorillo,GK,185172,13.70,1196.69,0.00,0.00,0.00,536666.55,48.51,51.10,48.75,47.35,44.59,50.15,27.30,48.02,0.85,25.61,89089.56,1.35,8.54,0
97,yoel,GK,185181,13.91,1425.40,0.00,0.00,0.00,1470000.99,48.88,52.59,51.23,47.25,47.92,50.69,39.28,45.88,0.80,21.76,58039.17,0.64,26.32,0
98,niccolo galli,MF,185207,-3.50,95.49,-3.76,0.00,-3.76,93332.73,20.92,24.55,23.64,12.38,21.37,21.83,13.27,14.85,0.72,34.78,83371.08,1.40,11.45,0
99,joshua king,"FW,MF",185422,14.93,839.55,0.57,-2.96,1.61,886666.67,46.46,51.80,63.25,43.89,41.34,50.66,19.69,40.53,0.75,15.71,87540.89,0.54,55.58,1
100,macauley chrisantus,"FW,MF",186102,15.04,873.55,2.60,-4.12,2.92,816666.12,24.09,26.39,27.51,24.55,14.17,20.92,4.48,23.19,0.70,9.65,20792.96,1.03,7.95,0
101,henri lansbury,MF,186116,23.50,1827.29,5.73,2.76,8.14,1283333.58,49.70,56.19,46.19,48.52,49.70,49.95,39.73,50.67,0.67,27.02,467694.37,0.92,266.17,0
102,jordon mutch,MF,186117,14.63,991.24,1.63,5.39,7.03,3091668.02,49.23,53.88,53.25,47.86,50.13,49.52,44.62,50.90,0.66,16.03,95323.72,1.08,40.62,0
103,james chester,DF,186130,20.67,1764.31,1.53,-3.76,1.17,2216668.22,49.25,52.45,48.40,23.10,39.45,42.95,48.79,50.40,0.65,28.70,980124.30,1.01,82.72,0
104,danny drinkwater,MF,186132,25.15,2065.41,-2.13,-3.56,-1.88,1750000.60,48.57,53.62,48.75,42.33,46.93,48.56,39.87,47.39,0.93,21.66,493589.80,0.91,87.31,1
105,joe dudgeon,DF,186133,-0.52,466.94,0.00,-4.12,-4.12,350000.00,45.50,48.30,46.90,30.10,39.20,42.70,45.50,48.30,0.95,8.69,14394.93,0.98,28.38,0
106,corry evans,"DF,MF",186135,21.38,1607.78,0.70,0.47,1.17,758333.53,44.95,49.15,48.08,29.83,38.50,42.03,47.86,47.60,0.81,17.63,32155.49,1.18,15.53,0
107,matty james,MF,186139,20.17,1451.84,-4.01,0.91,1.36,1166667.46,47.16,51.55,49.00,41.96,47.38,47.38,43.70,49.48,0.78,27.07,102639.02,1.13,56.53,0
108,oliver norwood,MF,186143,15.50,1379.77,-3.07,-3.32,-1.94,816667.40,46.73,51.83,45.33,41.62,49.71,44.41,40.82,45.51,0.79,26.08,4386122.81,0.69,242.89,0
109,cameron stewart,MF,186144,8.44,427.38,0.00,4.23,4.23,338332.38,46.65,49.87,57.85,42.70,43.15,49.91,22.58,37.05,0.99,27.44,100586.76,0.89,64.75,0
110,ben gordon,DF,186194,9.88,560.30,4.23,4.23,5.06,81681.10,42.44,47.48,51.97,27.30,38.24,43.33,40.82,44.80,0.98,26.93,1327992.39,1.31,121.77,0
111,jacob mellis,MF,186198,15.62,1135.38,-3.67,-3.32,-1.90,361666.58,45.47,49.64,50.51,44.58,46.90,46.91,37.37,45.06,0.78,25.94,202070.91,1.00,175.97,0
112,jake kean,GK,186238,1.91,736.77,0.00,0.00,0.00,525000.35,45.24,49.66,46.90,42.62,36.43,48.78,31.50,44.10,0.70,8.38,9343.57,0.53,7.89,0
113,levan mchedlidze,"FW,MF",186272,15.68,342.31,6.59,-3.53,3.06,268334.09,46.97,51.14,47.35,45.58,37.72,45.37,22.02,48.08,0.96,15.47,176211.58,0.90,37.91,0
114,kieran trippier,"DF,MF",186345,28.79,2581.70,0.23,5.43,5.66,2508334.40,49.76,54.62,56.99,37.63,48.14,48.35,48.61,50.22,0.73,25.28,902285.25,0.94,448.62,1
115,tommy smith,DF,186352,29.25,2547.58,3.28,0.47,3.75,653334.28,48.78,52.50,50.15,23.59,38.95,28.70,49.71,53.93,0.74,25.95,1330651.33,1.11,57.26,0
116,adam clayton,MF,186385,29.36,2462.70,-2.62,2.36,4.42,1341666.78,48.08,52.02,48.04,44.36,46.90,48.52,41.30,45.50,0.94,30.54,135514.10,1.14,46.15,0
117,joel ward,"DF,MF",186392,23.21,1990.79,4.23,-3.29,0.93,1808334.34,50.25,53.44,47.68,31.33,47.63,45.76,50.99,51.64,0.79,25.33,126600.53,1.11,59.10,0
118,sean scannell,"FW,MF",186422,26.78,1581.06,2.23,3.02,4.22,431666.47,47.11,51.73,57.23,44.77,42.40,52.02,27.11,47.86,0.92,12.36,55335.27,1.03,32.65,0
119,liam kelly,MF,186449,7.39,764.00,0.00,0.00,0.00,384999.46,44.48,48.92,53.42,40.10,44.73,44.40,40.60,51.32,0.75,27.76,649787.28,0.80,113.30,0
120,mustapha carayol,"FW,MF",186450,11.73,797.47,-2.37,-3.89,-2.11,793333.49,45.98,48.56,62.54,40.38,38.76,50.40,15.79,41.08,0.76,6.53,57251.24,0.89,34.55,0
121,mark oxley,GK,186494,11.96,763.46,0.00,0.00,0.00,128333.78,19.11,24.09,20.92,18.21,17.76,21.37,6.63,17.31,0.86,24.35,801086.32,0.78,115.54,0
122,bernardo espinosa,DF,186521,24.11,2113.61,1.98,2.36,3.53,1143334.22,49.04,52.53,36.28,21.39,30.06,27.48,48.83,54.56,0.75,15.39,21973.00,1.43,5.68,0
123,mateo musacchio,DF,186547,18.95,1741.80,1.75,-4.01,1.89,5600000.51,53.73,58.61,47.86,29.44,43.24,39.00,54.67,52.80,0.46,18.95,292313.17,0.69,38.94,0
124,jacob butterfield,"DF,MF",186559,13.82,619.13,5.64,4.23,6.12,1446667.87,48.05,51.53,44.76,42.70,48.07,48.98,38.02,47.31,0.80,14.33,75835.72,1.08,40.33,0
125,scott wagstaff,MF,186565,13.59,962.53,2.79,5.06,3.54,175000.00,44.33,47.60,57.47,38.94,39.90,44.13,29.48,42.45,0.55,18.75,63990.88,0.81,70.30,0
126,andy king,MF,186578,21.92,1573.79,1.95,-3.77,2.81,1633333.93,48.07,51.74,47.38,49.47,47.12,48.05,40.43,46.91,0.80,27.09,4294365.05,1.09,188.23,0
127,lys gomis,GK,186604,9.76,685.13,0.00,0.00,0.00,204168.60,45.25,50.08,48.05,42.19,35.18,51.15,28.00,42.19,0.69,24.12,36892.37,0.77,3.03,0
128,daniele ragatzu,FW,186607,6.93,423.58,-4.24,0.00,-4.24,233331.94,44.54,51.98,61.52,41.94,39.11,48.93,19.51,37.69,0.72,16.46,27781.73,0.99,15.30,0
129,samuel di carmine,FW,186614,18.69,1503.76,2.90,1.52,4.86,455000.08,45.75,48.75,46.20,44.57,30.35,43.65,20.56,47.64,0.73,29.02,121640.29,1.14,18.63,0
130,kiko olivas,DF,186684,24.06,2030.76,6.59,1.88,4.01,606666.47,46.20,50.36,34.10,25.20,33.60,32.90,46.20,54.39,0.77,11.18,11537.54,0.94,2.53,0
131,lynel kitambala,FW,186719,17.70,921.33,2.89,5.52,4.11,466666.92,47.56,51.24,56.49,46.41,42.90,51.76,19.69,44.14,0.68,15.41,90434.57,1.31,37.43,0
132,nikola gulan,"DF,MF",186753,5.48,556.59,0.00,0.23,0.23,315000.31,30.17,32.72,35.02,24.27,26.82,29.51,30.77,34.07,0.70,1.17,4990.22,1.43,31.28,0
133,ashley barnes,FW,186905,21.26,1473.75,3.79,1.04,5.37,1108334.38,47.88,51.82,48.34,48.33,39.51,47.86,28.07,51.62,0.82,27.81,915315.66,0.31,150.39,0
134,fabio daprela,"DF,MF",186950,18.94,1440.84,-4.26,0.47,-3.79,886666.32,46.89,53.87,57.77,36.83,42.03,46.47,45.07,53.92,0.78,14.70,27560.67,0.92,3.68,0
135,wilfried moimbe,"DF,MF",187047,20.35,1824.24,4.23,1.98,2.46,653333.33,44.65,48.55,57.41,28.00,40.44,43.51,42.52,42.59,0.71,14.26,52474.21,0.97,57.75,0
136,will buckley,"FW,MF",187150,12.54,1025.18,-3.22,-3.45,-1.49,1808333.80,49.44,51.75,57.86,46.46,43.88,50.40,20.22,48.26,0.76,27.32,1405808.76,1.08,287.49,0
137,agon mehmeti,FW,187338,11.45,620.95,1.39,-4.12,1.60,443332.38,45.47,49.60,46.41,45.75,37.80,42.86,19.46,44.31,0.68,3.93,9084.76,0.73,6.59,0
138,milan milanovic,DF,187361,1.03,547.80,0.23,0.00,0.23,349999.81,45.03,52.68,46.20,20.82,32.65,35.45,43.85,51.81,0.73,25.92,328240.99,0.45,27.96,0
